,Dropped variable: 1,Dropped variable : 2,RMSE,R^2,MAE,RMSE %,R^2 %,MAE %,R^2_rank,RMSE_rank,MAE_rank,rank_sum
41,Superplasticizer,Coarse Aggregate,7.944146025701561,0.7550829839298773,6.283708737864077,0.9207332610787082,1.0618557661040477,0.9188978144264325,1.5,1.5,5.5,8.5
48,Coarse Aggregate,Superplasticizer,7.944146025701561,0.7550829839298773,6.283708737864077,0.9207332610787082,1.0618557661040477,0.9188978144264325,1.5,1.5,5.5,8.5
38,Superplasticizer,Blast Furnace Slag,8.206101751816451,0.7386645545866133,6.270572815533981,0.9510941518759924,1.0387669080055904,0.9169768835203155,3.5,3.5,3.5,10.5
19,Blast Furnace Slag,Superplasticizer,8.206101751816451,0.7386645545866133,6.270572815533981,0.9510941518759924,1.0387669080055904,0.9169768835203155,3.5,3.5,3.5,10.5
27,Fly Ash,Coarse Aggregate,8.302338201473756,0.7324990283588497,6.435417475728155,0.9622480380005595,1.0300964708280198,0.9410829336718034,5.5,5.5,8.5,19.5
46,Coarse Aggregate,Fly Ash,8.302338201473756,0.7324990283588497,6.435417475728155,0.9622480380005595,1.0300964708280198,0.9410829336718034,5.5,5.5,8.5,19.5
17,Blast Furnace Slag,Fly Ash,8.421164469901191,0.724787078001849,6.242601941747574,0.9760201032769331,1.019251333103065,0.9128865642738089,10.5,10.5,1.5,22.5
24,Fly Ash,Blast Furnace Slag,8.421164469901191,0.724787078001849,6.242601941747574,0.9760201032769331,1.019251333103065,0.9128865642738089,10.5,10.5,1.5,22.5
4,Superplasticizer, ,8.314221556891985,0.7317327179532358,6.464747572815533,0.9636253289707134,1.0290188261980326,0.9453720188657279,7.0,7.0,10.0,24.0
2,Fly Ash, ,8.444797488475329,0.7232402043746349,6.3952233009708745,0.978759190170666,1.017076000437054,0.9352051406553031,12.0,12.0,7.0,31.0
33,Water,Superplasticizer,8.382932150321462,0.7272803539077874,6.562708737864078,0.9715889450163272,1.0227575694420563,0.9596973646474888,8.5,8.5,15.5,32.5
40,Superplasticizer,Water,8.382932150321462,0.7272803539077874,6.562708737864078,0.9715889450163272,1.0227575694420563,0.9596973646474888,8.5,8.5,15.5,32.5
25,Fly Ash,Water,8.447665906162241,0.7230521601928062,6.5317669902912625,0.9790916422130205,1.0168115582459218,0.9551725998301973,13.5,13.5,11.5,38.5
32,Water,Fly Ash,8.447665906162241,0.7230521601928062,6.5317669902912625,0.9790916422130205,1.0168115582459218,0.9551725998301973,13.5,13.5,11.5,38.5
18,Blast Furnace Slag,Water,8.530689830857249,0.7175817056856664,6.544786407766991,0.9887141854901296,1.0091185843804749,0.9570764936551073,18.5,18.5,13.5,50.5
31,Water,Blast Furnace Slag,8.530689830857249,0.7175817056856664,6.544786407766991,0.9887141854901296,1.0091185843804749,0.9570764936551073,18.5,18.5,13.5,50.5
5,Coarse Aggregate, ,8.487459427530748,0.7204368373346589,6.709883495145631,0.9837037450848575,1.0131336900959949,0.9812194574825441,15.0,15.0,23.0,53.0
47,Coarse Aggregate,Water,8.497787710962337,0.7197560295073393,6.70416504854369,0.9849008018930463,1.0121762857676844,0.9803832207466219,16.5,16.5,21.5,54.5
34,Water,Coarse Aggregate,8.497787710962337,0.7197560295073393,6.70416504854369,0.9849008018930463,1.0121762857676844,0.9803832207466219,16.5,16.5,21.5,54.5
3,Water, ,8.531904485830804,0.7175012748612428,6.778281553398057,0.9888549650316019,1.0090054763691643,0.9912216439079656,20.0,20.0,24.0,64.0
26,Fly Ash,Superplasticizer,8.568281674546473,0.7150871790977626,6.585446601941747,0.9930711120518972,1.0056105892363127,0.9630224349964365,23.5,23.5,17.5,64.5
39,Superplasticizer,Fly Ash,8.568281674546473,0.7150871790977626,6.585446601941747,0.9930711120518972,1.0056105892363127,0.9630224349964365,23.5,23.5,17.5,64.5
55,Fine Aggregate,Superplasticizer,8.579175471278711,0.7143622366729365,6.801747572815533,0.9943337123311913,1.0045911194425574,0.9946531960144589,25.5,25.5,28.5,79.5
42,Superplasticizer,Fine Aggregate,8.579175471278711,0.7143622366729365,6.801747572815533,0.9943337123311913,1.0045911194425574,0.9946531960144589,25.5,25.5,28.5,79.5
56,Fine Aggregate,Coarse Aggregate,8.56278189529593,0.7154528194404639,6.983844660194175,0.9924336829729021,1.006124780807942,1.021282153941387,21.5,21.5,37.5,80.5
49,Coarse Aggregate,Fine Aggregate,8.56278189529593,0.7154528194404639,6.983844660194175,0.9924336829729021,1.006124780807942,1.021282153941387,21.5,21.5,37.5,80.5
20,Blast Furnace Slag,Coarse Aggregate,8.671035783192112,0.7082126368404668,6.692077669902914,1.0049804003802396,0.9959430791869623,0.9786156235713701,31.5,31.5,19.5,82.5
45,Coarse Aggregate,Blast Furnace Slag,8.671035783192112,0.7082126368404668,6.692077669902914,1.0049804003802396,0.9959430791869623,0.9786156235713701,31.5,31.5,19.5,82.5
35,Water,Fine Aggregate,8.613437695371044,0.7120762064624899,6.93935922330097,0.998304733158135,1.001376327940017,1.0147768284337528,27.5,27.5,34.5,89.5
54,Fine Aggregate,Water,8.613437695371044,0.7120762064624899,6.93935922330097,0.998304733158135,1.001376327940017,1.0147768284337528,27.5,27.5,34.5,89.5
8,None dropped,,8.62806456714119,0.7110975031008959,6.8383106796116495,1.0,1.0,1.0,30.0,30.0,30.0,90.0
6,Fine Aggregate, ,8.616704791061991,0.711857744794008,6.8777572815533965,0.9986833923192392,1.001069110339717,1.0057684717454205,29.0,29.0,33.0,91.0
1,Blast Furnace Slag, ,8.887511233316676,0.6934616271376979,6.785902912621359,1.0300700886226042,0.9751990748296921,0.9923361529702732,36.0,36.0,25.0,97.0
28,Fly Ash,Fine Aggregate,8.835612326515124,0.6970312554512375,6.8747087378640765,1.0240549613136127,0.9802189607074705,1.0053226681204976,33.5,33.5,31.5,98.5
53,Fine Aggregate,Fly Ash,8.835612326515124,0.6970312554512375,6.8747087378640765,1.0240549613136127,0.9802189607074705,1.0053226681204976,33.5,33.5,31.5,98.5
